Bandwidth,NSS,Modulation,codingRate,Datarate,receiversensitivity
40,7,QPSK,0.750000,315.000000,-84.208356
40,7,16QAM,0.500000,420.000000,-81.899356
40,7,16QAM,0.750000,630.000000,-80.139356
40,7,64QAM,0.666667,840.000000,-74.583356
80,7,256QAM,0.833333,3033.300000,-64.327056
80,8,BPSK,0.500000,234.000000,-89.090056
80,8,QPSK,0.500000,468.000000,-83.069056
80,8,QPSK,0.750000,702.000000,-81.308056
80,8,16QAM,0.500000,936.000000,-78.999056
160,7,256QAM,0.750000,5460.000000,-61.774756
80,8,16QAM,0.750000,1404.000000,-77.239056
40,7,64QAM,0.750000,945.000000,-74.071356
80,8,64QAM,0.666667,1872.000000,-71.683056
40,7,64QAM,0.833333,1050.000000,-73.614356
80,8,64QAM,0.750000,2106.000000,-71.171056
80,8,64QAM,0.833333,2340.000000,-70.714056
160,7,256QAM,0.833333,6066.700000,-61.316756
160,8,BPSK,0.500000,468.000000,-86.079756
160,8,QPSK,0.500000,936.000000,-80.058756
160,8,QPSK,0.750000,1404.000000,-78.297756
160,8,16QAM,0.500000,1872.000000,-75.988756
160,8,16QAM,0.750000,2808.000000,-74.228756
40,7,256QAM,0.750000,1260.000000,-68.142356
160,8,64QAM,0.666667,3744.000000,-68.672756
160,8,64QAM,0.750000,4212.000000,-68.160756
80,8,256QAM,0.750000,2808.000000,-65.242056
160,8,64QAM,0.833333,4680.000000,-67.703756
40,7,256QAM,0.833333,1400.000000,-67.685356
40,8,BPSK,0.500000,108.000000,-92.447356
40,8,QPSK,0.500000,216.000000,-86.427356
40,8,QPSK,0.750000,324.000000,-84.666356
40,8,16QAM,0.500000,432.000000,-82.357356
40,8,16QAM,0.750000,648.000000,-80.596356
80,8,256QAM,0.833333,3120.000000,-64.785056
80,8,BPSK,0.500000,260.000000,-88.632056
80,8,QPSK,0.500000,520.000000,-82.611056
80,8,QPSK,0.750000,780.000000,-80.851056
40,8,64QAM,0.666667,864.000000,-75.040356
80,8,16QAM,0.500000,1040.000000,-78.542056
80,8,16QAM,0.750000,1560.000000,-76.781056
160,8,256QAM,0.750000,5616.000000,-62.231756
40,8,64QAM,0.750000,972.000000,-74.529356
80,8,64QAM,0.666667,2080.000000,-71.225056
40,8,64QAM,0.833333,1080.000000,-74.071356
80,8,64QAM,0.750000,2340.000000,-70.714056
80,8,64QAM,0.833333,2600.000000,-70.256056
160,8,256QAM,0.833333,6240.000000,-61.774756
160,8,BPSK,0.500000,520.000000,-85.621756
160,8,QPSK,0.500000,1040.000000,-79.600756
160,8,QPSK,0.750000,1560.000000,-77.840756
160,8,16QAM,0.500000,2080.000000,-75.531756
160,8,16QAM,0.750000,3120.000000,-73.770756
160,8,64QAM,0.666667,4160.000000,-68.214756
40,8,256QAM,0.750000,1296.000000,-68.600356
160,8,64QAM,0.750000,4680.000000,-67.703756
80,8,256QAM,0.750000,3120.000000,-64.785056
160,8,64QAM,0.833333,5200.000000,-67.245756
40,8,256QAM,0.833333,1440.000000,-68.142356
40,8,BPSK,0.500000,120.000000,-91.990356
40,8,QPSK,0.500000,240.000000,-85.969356
40,8,QPSK,0.750000,360.000000,-84.208356
40,8,16QAM,0.500000,480.000000,-81.899356
40,8,16QAM,0.750000,720.000000,-80.139356
40,8,64QAM,0.666667,960.000000,-74.583356
160,8,256QAM,0.750000,6240.000000,-61.774756
80,8,256QAM,0.833333,3466.700000,-64.327056
40,8,64QAM,0.750000,1080.000000,-74.071356
40,8,64QAM,0.833333,1200.000000,-73.614356
160,8,256QAM,0.833333,6933.300000,-61.316756
40,8,256QAM,0.750000,1440.000000,-68.142356
40,8,256QAM,0.833333,1600.000000,-67.685356
